species,name,phase,pulse,pulsesN,PD (s),II (s),ID (vertical; cm),ID (horizontal; cm),notes,start,end,d2cam,lrd,height,maxI,meanI,meanArea,maxIxmeanA
Photeros annecohenae,Pan1,?,1,9,0.23,,,,only on right camera,48,55,,102.00,22.50,175.00,151.08,7.75,1356.25
Photeros annecohenae,Pan1,h,2,9,0.27,0.40,,,,67,75,627.87,247.50,85.00,189.00,154.97,22.62,4275.18
Photeros annecohenae,Pan1,h,3,9,0.27,0.37,,,,86,94,705.48,244.38,151.68,195.00,149.76,11.39,2221.05
Photeros annecohenae,Pan1,h,4,9,0.27,0.23,,,,101,109,697.64,225.00,195.83,191.00,154.19,12.36,2360.76
Photeros annecohenae,Pan1,h,5,9,0.13,0.37,,,,120,124,697.64,195.83,252.78,186.00,153.80,18.25,3394.50
Photeros annecohenae,Pan1,h,6,9,0.13,0.37,,,,135,139,682.47,146.74,305.71,183.00,152.22,17.25,3156.75
Photeros annecohenae,Pan1,h,7,9,0.07,0.43,,,only on left camera,152,154,,79.00,257.00,179.00,151.80,8.00,1432.00
Photeros annecohenae,Pan1,h,8,9,0.20,0.43,,,only on left camera,167,173,,49.43,282.57,157.43,141.90,3.14,494.33
Photeros annecohenae,Pan1,h,9,9,0.07,0.30,,,only on left camera,182,184,,19.00,317.00,143.00,135.60,1.50,214.50
Photeros annecohenae,Pan2,?,1,8,0.30,,,,,161,170,660.92,315.79,65.79,191.00,154.94,25.50,4870.50
Photeros annecohenae,Pan2,h,2,8,0.17,0.33,,,,180,185,697.64,305.56,126.39,182.00,155.52,22.75,4140.50
Photeros annecohenae,Pan2,h,3,8,0.30,0.33,,,,195,204,689.97,296.70,182.69,186.00,155.76,16.88,3139.68
Photeros annecohenae,Pan2,h,4,8,0.17,0.33,,,,214,219,689.97,281.59,252.75,184.00,153.88,20.50,3772.00
Photeros annecohenae,Pan2,h,5,8,0.17,0.33,,,,229,234,721.70,272.99,336.21,182.00,154.69,15.75,2866.50
Photeros annecohenae,Pan2,h,6,8,0.17,0.33,,,,244,249,775.15,243.83,422.84,179.00,152.32,7.50,1342.50
Photeros annecohenae,Pan2,h,7,8,0.17,0.33,,,,259,264,815.42,215.91,491.88,175.00,145.17,10.00,1750.00
Photeros annecohenae,Pan2,h,8,8,0.10,0.33,,,only on right camera,274,277,,26.00,331.00,149.00,138.60,1.50,223.50
Photeros annecohenae,Pan3,?,1,6,0.30,,,,,18,27,475.66,248.11,69.13,185.00,156.86,46.62,8624.70
Photeros annecohenae,Pan3,h,2,6,0.30,0.33,,,,37,46,523.23,226.04,137.50,190.00,156.86,30.75,5842.50
Photeros annecohenae,Pan3,h,3,6,0.30,0.20,,,,52,61,550.77,206.14,194.08,190.00,155.11,21.81,4143.90
Photeros annecohenae,Pan3,h,4,6,0.27,0.33,,,,71,79,532.10,175.85,241.53,182.00,156.85,31.71,5771.22
Photeros annecohenae,Pan3,h,5,6,0.27,0.23,,,,86,94,523.23,152.08,307.29,185.00,150.87,20.98,3881.30
Photeros annecohenae,Pan3,h,6,6,0.23,0.30,,,only on left camera,103,110,,120.50,360.00,164.50,144.80,25.25,4153.63
Photeros annecohenae,Pan4,s,1,10,0.47,,,,,48,62,848.48,533.78,37.16,180.00,152.19,11.89,2140.20
Photeros annecohenae,Pan4,s,2,10,0.33,1.53,,,,108,118,597.98,409.52,29.76,194.00,153.62,37.23,7222.62
Photeros annecohenae,Pan4,h,3,10,0.2,0.30,,,,127,133,675.13,418.01,98.12,187.00,154.41,33.46,6257.02
Photeros annecohenae,Pan4,h,4,10,0.23,0.40,,,,145,152,689.97,405.22,173.08,185.00,155.53,25.62,4739.70
Photeros annecohenae,Pan4,h,5,10,0.23,0.40,,,,164,171,756.48,394.58,254.52,183.00,151.54,14.62,2675.46
Photeros annecohenae,Pan4,h,6,10,0.23,0.27,,,,179,186,784.84,364.06,312.50,187.00,152.84,13.12,2453.44
Photeros annecohenae,Pan4,h,7,10,0.1,0.40,,,,198,201,775.15,330.25,368.83,184.00,153.36,19.25,3542.00
Photeros annecohenae,Pan4,h,8,10,0.1,0.40,,,,213,216,794.78,291.14,436.71,178.00,149.96,12.00,2136.00
Photeros annecohenae,Pan4,h,9,10,0.1,0.40,,,,228,231,837.17,258.33,516.67,170.00,143.93,9.00,1530.00
Photeros annecohenae,Pan4,h,10,10,0.10,0.40,,,only on left camera,243,246,,126.00,336.00,147.00,140.60,1.50,220.50
Photeros annecohenae,Pan5,s,1,11,0.47,,,,,65,79,1902.65,746.21,401.52,187.00,152.63,24.37,4557.19
Photeros annecohenae,Pan5,s,2,11,0.33,1.03,,,,110,120,1902.65,598.48,386.36,190.00,151.96,13.10,2489.00
Photeros annecohenae,Pan5,s,3,11,0.23,0.90,,,,147,154,1569.69,443.75,296.88,187.00,155.25,16.95,3169.65
Photeros annecohenae,Pan5,h,4,11,0.23,0.40,,,,166,173,1652.30,440.79,361.84,184.00,154.49,9.32,1714.88
Photeros annecohenae,Pan5,h,5,11,0.2,0.43,,,,186,192,1569.69,362.50,393.75,184.00,153.47,7.96,1464.64
Photeros annecohenae,Pan5,h,6,11,0.13,0.50,,,,207,211,1569.69,309.38,443.75,177.00,150.69,9.50,1681.50
Photeros annecohenae,Pan5,h,7,11,0.13,0.50,,,,226,230,1569.69,281.25,503.12,171.00,148.39,5.25,897.75
Photeros annecohenae,Pan5,h,8,11,0.1,0.50,,,,245,248,1569.69,250.00,562.50,169.00,145.60,4.50,760.50
Photeros annecohenae,Pan5,h,9,11,0.17,0.43,,,,261,266,1531.40,195.12,609.76,147.00,132.88,0.50,73.50
Photeros annecohenae,Pan5,h,10,11,0.10,0.43,,,only on left camera,279,282,,50.00,214.00,165.00,149.83,2.00,330.00
Photeros annecohenae,Pan5,h,11,11,0.10,0.53,,,only on left camera,298,301,,37.00,230.00,147.00,135.50,1.00,147.00
Photeros annecohenae,Pan6,s,1,8,0.23,,,,only on right camera,58,65,,135.50,22.00,171.00,146.62,3.00,513.00
Photeros annecohenae,Pan6,s,2,8,0.33,0.53,,,,81,91,627.87,311.25,47.50,182.00,155.59,35.70,6497.40
Photeros annecohenae,Pan6,h,3,8,0.33,0.30,,,,100,110,527.62,280.46,89.29,187.00,154.85,23.80,4450.60
Photeros annecohenae,Pan6,h,4,8,0.23,0.27,,,,118,125,514.65,250.00,162.91,188.00,159.01,41.45,7792.60
Photeros annecohenae,Pan6,h,5,8,0.23,0.40,,,,137,144,555.64,212.39,233.41,185.00,158.61,28.75,5318.75
