species,name,phase,pulse,pulsesN,PD (s),II (s),ID (vertical; cm),ID (horizontal; cm),notes,start,end,d2cam,lrd,height,maxI,meanI,meanArea
Photeros annecohenae,Pan8,h,4,10,0.27,0.37,,,,110,118,545.98,475,125,182,153.85,46.86
Photeros annecohenae,Pan8,h,5,10,0.27,0.37,,,,129,137,581.36,493.06,185.18,179,146.99,22.12
Photeros annecohenae,Pan8,h,6,10,0.13,0.37,,,,148,152,570.79,487.5,247.73,184,150.49,27.5
Photeros annecohenae,Pan8,h,7,10,0.13,0.5,,,,167,171,560.6,468.75,299.11,168,140.54,9.25
Photeros annecohenae,Pan8,h,8,10,0.1,0.53,,,only on right camera,187,190,,283,305,154,133.83,2
Photeros annecohenae,Pan8,h,9,10,0.1,0.4,,,only on right camera,202,205,,265,355,137,128.83,2
Photeros annecohenae,Pan8,h,10,10,0.07,0.53,,,only on right camera,221,223,,230,388,152,137.08,6.5
Photeros annecohenae,Pan9,?,1,4,0.47,,,,,32,46,232.55,143.98,15.74,190,157.95,100.22
Photeros annecohenae,Pan9,h,2,4,0.33,0.17,,,,51,61,230.84,135.11,76.29,185,155.98,88.59
Photeros annecohenae,Pan9,h,3,4,0.37,0.27,,,,69,80,313.94,125.62,155,190,154.28,71.77
Photeros annecohenae,Pan9,h,4,4,0.23,0.27,,,only on left camera,88,95,,136,311,181.5,158.96,57.75
Photeros annecohenae,Pan10,?,1,7,0.47,,,,,21,35,1846.69,1470.59,231.62,187,147.73,28.99
Photeros annecohenae,Pan10,h,2,7,0.33,0.6,,,"PFD off, but changing wreaks havoc. using p10 here",53,63,,351.91,69.64,173.09,147.7,21.59
Photeros annecohenae,Pan10,h,3,7,0.27,0.53,,,,79,87,1846.69,1301.47,297.79,194,154.33,22.93
Photeros annecohenae,Pan10,h,4,7,0.2,0.37,,,,98,104,1744.1,1173.61,350.69,186,152.21,8.79
Photeros annecohenae,Pan10,h,5,7,0.17,0.53,,,,120,125,1652.3,1075.66,414.47,189,152.67,12.75
Photeros annecohenae,Pan10,h,6,7,0.3,0.33,,,,135,144,1609.93,1009.62,500,184,145.81,6.25
Photeros annecohenae,Pan10,h,7,7,0.13,0.47,,,,158,162,1609.93,919.87,592.95,183,150.63,13
Photeros annecohenae,Pan11,?,1,12,0.07,,,,only on left camera,87,89,,425,22,172,153.31,3
Photeros annecohenae,Pan11,h,2,12,0.2,0.43,,,,102,108,981.05,750,95.7,185,154.91,52.57
Photeros annecohenae,Pan11,h,3,12,0.23,0.4,,,,120,127,837.17,563.33,133.33,189,156.72,42.82
Photeros annecohenae,Pan11,h,4,12,0.23,0.27,,,,135,142,996.63,563.49,208.33,187,156.17,29.04
Photeros annecohenae,Pan11,h,5,12,0.23,0.4,,,,154,161,996.63,490.08,246.03,182,153.59,17.62
Photeros annecohenae,Pan11,h,6,12,0.23,0.4,,,,173,180,951.32,439.39,287.88,185,154.06,10.61
Photeros annecohenae,Pan11,h,7,12,0.2,0.4,,,,192,198,965.96,392.31,355.77,179,152.37,17.54
Photeros annecohenae,Pan11,h,8,12,0.23,0.4,,,,210,217,981.05,320.31,427.73,180,147.06,6.61
Photeros annecohenae,Pan11,h,9,12,0.1,0.4,,,,229,232,1012.7,294.36,495.97,182,155.31,11.5
Photeros annecohenae,Pan11,h,10,12,0.1,0.53,,,,248,251,1012.7,243.95,538.31,168,147.95,4.75
Photeros annecohenae,Pan11,h,11,12,0.1,0.4,,,,263,266,1064.19,233.05,608.05,173,144.3,3.75
Photeros annecohenae,Pan11,h,12,12,0.1,0.53,,,only on right camera,282,285,,25,317,160,140.5,3
Photeros annecohenae,Pan12,?,1,6,0.23,,,,,50,57,518.9,215.91,74.38,185,153.2,24.12
Photeros annecohenae,Pan12,h,2,6,0.23,0.4,,,,69,76,494.39,199.8,121.06,184,148.67,19.93
Photeros annecohenae,Pan12,h,3,6,0.23,0.27,,,,84,91,494.39,191.93,177.16,185,152.84,22.21
Photeros annecohenae,Pan12,h,4,6,0.1,0.4,,,,103,106,541.27,170.26,247.84,180,157.58,28
Photeros annecohenae,Pan12,h,5,6,0.1,0.4,,,,118,121,627.87,148.75,312.5,171,149.44,8
Photeros annecohenae,Pan12,h,6,6,0.07,0.4,,,only on left camera,133,135,,90,264,151,135,2.5
Photeros annecohenae,Pan13,?,1,5,0.47,,,,,49,63,427.12,385.2,39.97,190,156.06,95.76
Photeros annecohenae,Pan13,h,2,5,0.4,0.3,,,,72,84,475.66,364.58,108.9,187,156.04,61.84
Photeros annecohenae,Pan13,h,3,5,0.47,0.23,,,,91,105,445.3,283.69,155.14,185,151.4,57.46
Photeros annecohenae,Pan13,h,4,5,0.27,0.27,,,,113,121,494.39,269.68,232.28,184,158.16,52.66
Photeros annecohenae,Pan13,h,5,5,0.27,0.37,,,,132,140,502.3,268,325,192,157.31,34
Photeros annecohenae,Pan14,?,1,6,0.5,,,,,67,82,1102,210.53,133.77,190,150.1,16.72
Photeros annecohenae,Pan14,s,2,6,0.2,1.03,,,,113,119,1207.45,240.38,151.44,189,152.9,14.21
Photeros annecohenae,Pan14,h,3,6,0.23,0.4,,,,131,138,1281.38,265.31,186.22,185,151.91,7.11
Photeros annecohenae,Pan14,h,4,6,0.1,0.53,,,,154,157,1255.75,255,212.5,176,150.55,9.75
Photeros annecohenae,Pan14,h,5,6,0.1,0.53,,,,173,176,1255.75,230,257.5,179,148.92,6.75
Photeros annecohenae,Pan14,h,6,6,0.2,0.4,,,,188,194,1255.75,220,315,169,144.39,2.61
Photeros annecohenae,hanpan1,s,1,8,0.43,,,,,25,38,937,606.34,307.84,185,154.07,28.27
Photeros annecohenae,hanpan1,s,2,8,0.33,0.9,,,,65,75,884.33,577.46,269.37,189,153.21,23.48
Photeros annecohenae,hanpan1,h,3,8,0.23,0.53,,,,91,98,896.96,566.07,312.5,186,156.89,26.75
Photeros annecohenae,hanpan1,h,4,8,0.27,0.47,,,,112,120,860.1,515.41,345.89,187,150.74,10.25
Photeros annecohenae,hanpan1,h,5,8,0.2,0.4,,,,132,138,872.05,531.25,418.4,186,154.69,8.89
Photeros annecohenae,hanpan1,h,6,8,0.17,0.53,,,,154,159,884.33,531.69,487.68,186,153.85,7.25
Photeros annecohenae,hanpan1,h,7,8,0.2,0.43,,,,172,178,884.33,507.04,561.62,165,142.64,4.75
Photeros annecohenae,hanpan1,h,8,8,0.1,0.5,,,left camera only,193,196,,285,354,142,132.33,0.5
